name,category,subtypes,phone,website,address,street,city,state,postal_code,country,country_code,rating,reviews,business_status,working_hours,description,about,latitude,longitude,place_id,google_id,domain,email,company_instagram,company_facebook,booking_appointment_link,verified,photos_count,reviews_per_score_5,reviews_per_score_4
Dundas University Health Clinic,Chiropractor,"Naturopathic practitioner, Acupuncture clinic, Foot care, Massage therapist, Chiropractor, Orthotics & prosthetics service, Physiotherapist, Podiatrist",+1 416-598-4999,https://www.duhc.ca/,"438 University Ave #104, Toronto, ON M5G 2K8",438 University Ave #104,Toronto,Ontario,M5G 2K8,Canada,CA,4.8,83,OPERATIONAL,"{""Monday"": [""8a.m.-6p.m.""], ""Tuesday"": [""8a.m.-6p.m.""], ""Wednesday"": [""8a.m.-6p.m.""], ""Thursday"": [""8a.m.-6p.m.""], ""Friday"": [""8a.m.-6p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.6542327,-79.3884447,ChIJWSSV48g0K4gRUniI5cpjyCg,0x882b34c8e3952459:0x28c863cae5887852,duhc.ca,info@duhc.ca,https://www.instagram.com/duhc.to,https://www.facebook.com/duhcTO,https://www.duhc.ca/contact-us/,True,52,68,12
Anatomica // Functional Health and Wellness,Physical therapy clinic,"Naturopathic practitioner, Acupuncturist, Chiropractor, Massage therapist, Physiotherapy Center, Osteopath, Physiotherapist, Psychotherapist, Sports massage therapist, Wellness center",+1 416-890-1505,https://www.anatomica.ca/,"1302 Bloor St W, Toronto, ON M6H 1N9",1302 Bloor St W,Toronto,Ontario,M6H 1N9,Canada,CA,4.8,520,OPERATIONAL,"{""Monday"": [""8:30a.m.-8:30p.m.""], ""Tuesday"": [""8:30a.m.-8:30p.m.""], ""Wednesday"": [""8:30a.m.-8:30p.m.""], ""Thursday"": [""8:30a.m.-8:30p.m.""], ""Friday"": [""8:30a.m.-8:30p.m.""], ""Saturday"": [""8:30a.m.-4p.m.""], ""Sunday"": [""10a.m.-4p.m.""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true, ""Language assistance"": ""Arabic, English, French, Hindi, Italian, Portuguese, Spanish, Vietnamese""}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free street parking"": true, ""Paid parking lot"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6585846,-79.4424131,ChIJQej6oXM0K4gRxJ3A_7ERIao,0x882b3473a1fae841:0xaa2111b1ffc09dc4,anatomica.ca,nathalie@anatomica.ca,https://www.instagram.com/anatomica.ca,https://www.facebook.com/AnatomicaRMT/,https://anatomica.janeapp.com/locations/anatomica/book?rwg_token=AFd1xnE49pFwqw7soLARgMT6dguXgzMQmispvUGbC9S9W32axOkyTNqqk9OUaWG0A4an1OYPVAEi9e5wYBZooKjmtOYDmVpu_Q%3D%3D,True,36,488,12
A Natural Path To Health,Chiropractor,"Naturopathic practitioner, Acupuncturist, Alternative medicine practitioner, Child health care center, Massage therapist, Chiropractor, Pain management physician, Vitamin & supplements store, Wellness center",+1 416-782-1462,http://www.anpth.ca/,"3178 Bathurst St, North York, ON M6A 2A9",3178 Bathurst St,CA,Ontario,M6A 2A9,Canada,CA,4.8,86,OPERATIONAL,"{""Monday"": [""9-11a.m."", ""1-3p.m."", ""4-6:30p.m.""], ""Tuesday"": [""9a.m.-12p.m.""], ""Wednesday"": [""9a.m.-1p.m."", ""3-6p.m.""], ""Thursday"": [""1-3p.m."", ""4-7p.m.""], ""Friday"": [""9a.m.-1:30p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""9:30a.m.-1:30p.m.""]}",,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Nursing room"": true}, ""Parking"": {""On-site parking"": true}}",43.7224164,-79.4311153,ChIJF3X5_6gzK4gRZeL5g8pMv8k,0x882b33a8fff97517:0xc9bf4cca83f9e265,anpth.ca,admin@anpth.ca,,,https://link.evrgrn.us/widget/group/fmoMmEq9pwsVtRr6RotG?rwg_token=AFd1xnFOKL9BqbGSF3dz2aipqqZU4-QjeLynJp_A6vbqtTOyKVVnN_iL4UezeVFCBj2a7Ltv_o9oxHx2n63GFIyzTEYoL1XNc3IqVb8rnkw-YQOnS3_8atw%3D,True,25,80,1
Aurum Medicine & Wellness Clinic,Wellness center,"Naturopathic practitioner, Acupuncturist, Ayurvedic clinic, Dietitian, Massage therapist, Wellness center, Nutritionist, Osteopath, Psychotherapist",+1 416-531-0008,https://www.aurummedicine.ca/,"721 Bloor St W suite 302, Toronto, ON M6G 1L5",721 Bloor St W suite 302,Toronto,Ontario,M6G 1L5,Canada,CA,5,35,OPERATIONAL,"{""Monday"": [""10a.m.-8p.m.""], ""Tuesday"": [""10a.m.-8p.m.""], ""Wednesday"": [""10a.m.-8p.m.""], ""Thursday"": [""10a.m.-8p.m.""], ""Friday"": [""10a.m.-6p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free street parking"": true, ""Paid parking lot"": true, ""Paid street parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6634194,-79.4180383,ChIJww9g_ZU0K4gRCUOI7QZcavs,0x882b3495fd600fc3:0xfb6a5c06ed884309,aurummedicine.ca,patricia@aurumhealth.ca,https://instagram.com/aurumhealth_,https://www.facebook.com/profile.php?id=61574040503419,https://aurum.janeapp.com/locations/aurum-medicine-wellness-clinic-bloor-christie/book?rwg_token=AFd1xnFHe4gqdUxyXrYQ5TzxDHQIxCUJ89BHYqQlE6j-LHlEMWINwv4_gF9vz4ngJIwqQar_9k5P9Z_vw6qW1eNlCl1vZpBY_XVLY35dPO5DDVYYGNV2HBg%3D,True,18,34,1
"Dr. Ruth Anne Baron, ND",Naturopathic practitioner,Naturopathic practitioner,+1 416-385-9277,http://www.drruthannebaron.com/,"Haber’s Pharmacy, 1783 Avenue Rd, North York, ON M5M 3Y8","Haber’s Pharmacy, 1783 Avenue Rd",North York,Ontario,M5M 3Y8,Canada,CA,4.7,12,OPERATIONAL,"{""Monday"": [""Closed""], ""Tuesday"": [""9a.m.-5p.m.""], ""Wednesday"": [""Closed""], ""Thursday"": [""9a.m.-5p.m.""], ""Friday"": [""Closed""], ""Saturday"": [""9a.m.-2p.m.""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.7297936,-79.4183909,ChIJVRPF9_MyK4gRLqPAUQsmyJg,0x882b32f3f7c51355:0x98c8260b51c0a32e,drruthannebaron.com,drruthannebaronnd@gmail.com,,,https://drbaron.janeapp.com/locations/avenue-road-dr-ruth-anne-baron-nd/book?rwg_token=AFd1xnFeiZokgCCiVmwwEgD3zQwqNI8sgJaEY38k3i2s2HPYqvZL9FiRYxjqXmd47iV3l-S4GGwVtBqFpV6yV8G4vMBZ-Xmow1wMbrhuaqdXRJZL9uFA1x4%3D,True,3,11,0
Village Centre for Integrative Medicine,Medical Center,Medical Center,+1 416-546-4774,https://www.villageintegrativemedicine.com/,"2209 Bloor St W Unit 205, Toronto, ON M6S 2N9",2209 Bloor St W Unit 205,Toronto,Ontario,M6S 2N9,Canada,CA,5,17,OPERATIONAL,"{""Monday"": [""9:30a.m.-6:30p.m.""], ""Tuesday"": [""9:30a.m.-6:30p.m.""], ""Wednesday"": [""9a.m.-6p.m.""], ""Thursday"": [""9a.m.-6p.m.""], ""Friday"": [""9a.m.-6p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Assistive hearing loop"": false, ""Wheelchair-accessible washroom"": false}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""Paid parking lot"": true, ""Paid street parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6511162,-79.4758017,ChIJq6Y_-IE2K4gRl_yFN_LO9FQ,0x882b3681f83fa6ab:0x54f4cef23785fc97,villageintegrativemedicine.com,drtammygrime@gmail.com,https://www.instagram.com/villageintegrativemedicine,https://www.facebook.com/224208500641,,True,4,17,0
Mahaya Health Services,Acupuncture clinic,"Naturopathic practitioner, Massage therapist, Acupuncture clinic, Osteopath, Psychotherapist, Reiki therapist, Tea house, Wellness center",+1 647-435-0152,https://mahayahealth.com/,"637 College St, Toronto, ON M6G 1B5",637 College St,Toronto,Ontario,M6G 1B5,Canada,CA,4.9,24,OPERATIONAL,"{""Monday"": [""10a.m.-7p.m.""], ""Tuesday"": [""10a.m.-7p.m.""], ""Wednesday"": [""10a.m.-7p.m.""], ""Thursday"": [""10a.m.-7p.m.""], ""Friday"": [""10a.m.-7p.m.""], ""Saturday"": [""10a.m.-5p.m.""], ""Sunday"": [""10a.m.-5p.m.""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Amenities"": {""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6547265,-79.4151538,ChIJ_zSmWuNSV0AR6BPv3cV6jjk,0x405752e35aa634ff:0x398e7ac5ddef13e8,mahayahealth.com,info@mahayahealth.com,http://instagram.com/mahaya_health_services,https://www.facebook.com/MahayaHealth,https://mahayahealth.janeapp.com/locations/mahaya-health-637-college-st/book?rwg_token=AFd1xnETO4d2XG5O_qrrhXoh8CAlkZmUbBRuElBPsjc9Zy82tZ0HJbxdAw-px-IvkhtcfnLWcaXsA6DadnmYO8ArITjVCXqyHQ%3D%3D,True,2,22,1
Dr. Patricia Gabryl ND - Academy Health Centre,Naturopathic practitioner,"Naturopathic practitioner, Community health center",+1 416-234-1451,https://www.academyhealthcentre.com/,"4984 Dundas St W, Toronto, ON M9A 1B7",4984 Dundas St W,Toronto,Ontario,M9A 1B7,Canada,CA,4.7,16,OPERATIONAL,"{""Monday"": [""1-7p.m.""], ""Tuesday"": [""10a.m.-5p.m.""], ""Wednesday"": [""10a.m.-5p.m.""], ""Thursday"": [""10a.m.-6:30p.m.""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",43.6472507,-79.530527,ChIJX75fQaQ3K4gRxL9BoPr1TjQ,0x882b37a4415fbe5f:0x344ef5faa041bfc4,academyhealthcentre.com,patricia@academyhealthcentre.com,,,,True,21,14,1
LiveWell Health And Wellness,Osteopath,"Naturopathic practitioner, Massage therapist, Osteopath",+1 416-700-3054,https://www.livewellhealthandwellness.ca/%3Futm_source%3DGBP%26utm_medium%3Dorganic,"1033 Bay St. suite 316, Toronto, ON M5S 3A5",1033 Bay St. suite 316,Toronto,Ontario,M5S 3A5,Canada,CA,5,88,OPERATIONAL,"{""Monday"": [""8a.m.-8p.m.""], ""Tuesday"": [""8a.m.-8p.m.""], ""Wednesday"": [""8a.m.-8p.m.""], ""Thursday"": [""8a.m.-8p.m.""], ""Friday"": [""8a.m.-8p.m.""], ""Saturday"": [""8a.m.-5p.m.""], ""Sunday"": [""8a.m.-5p.m.""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""English, Mandarin""}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true, ""Paid parking garage"": true, ""Paid parking lot"": true, ""Paid street parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6662437,-79.387537,ChIJEeCnIOI1K4gRJGJSheuj75s,0x882b35e220a7e011:0x9befa3eb85526224,livewellhealthandwellness.ca,info@livewellhealthandwellness.ca,https://www.instagram.com/livewelltoronto,https://www.facebook.com/LiveWellHealthandWellness/,https://livewellhealthandwellness.janeapp.com/,True,23,87,0
"Dr. Natalie Bozinovski ND., MSc.",Naturopathic practitioner,"Naturopathic practitioner, Nutritionist",+1 647-449-3492,http://healthandthecity.ca/,"1194 Bloor St W 2nd Floor, Toronto, ON M6H 1N2",1194 Bloor St W 2nd Floor,Toronto,Ontario,M6H 1N2,Canada,CA,4.7,19,OPERATIONAL,"{""Monday"": [""12-4p.m.""], ""Tuesday"": [""11a.m.-7p.m.""], ""Wednesday"": [""10a.m.-5p.m.""], ""Thursday"": [""Closed""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}",43.6595493,-79.4380704,ChIJzbqEO800K4gRryZlhsYA1V8,0x882b34cd3b84bacd:0x5fd500c6866526af,healthandthecity.ca,drnatalie@healthandthecity.ca,https://www.instagram.com/dr.natalie.nd,https://www.facebook.com/pages/,https://drnataliebozinovski.janeapp.com/,True,9,17,1
EnviroMed Clinic,Medical Center,Medical Center,+1 416-929-0707,https://enviromedclinic.com/,"88 Prince Arthur Ave 2nd Floor, Toronto, ON M5R 1B6",88 Prince Arthur Ave 2nd Floor,Toronto,Ontario,M5R 1B6,Canada,CA,4.9,28,OPERATIONAL,"{""Monday"": [""10a.m.-6p.m.""], ""Tuesday"": [""10a.m.-6p.m.""], ""Wednesday"": [""10a.m.-6p.m.""], ""Thursday"": [""10a.m.-6p.m.""], ""Friday"": [""10a.m.-6p.m.""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""Accessibility"": {""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.668694,-79.4013403,ChIJyQtsFb00K4gRW-Kq3kt4gNI,0x882b34bd156c0bc9:0xd280784bdeaae25b,enviromedclinic.com,john@enviromedclinic.com,https://www.instagram.com/nontoxicdoc,https://www.facebook.com/nontoxicdoc/,,True,5,27,0
"Rosedale Wellness Centre - Massage, Chiropractic & Physiotherapy Toronto",Physical therapist,"Naturopathic practitioner, Acupuncturist, Chiropractor, Massage therapist, Physiotherapist, Orthotics & prosthetics service, Osteopath, Physiotherapy Center, Podiatrist",+1 416-975-0499,https://rosedalewellness.com/,"120 Bloor St E #105, Toronto, ON M4W 1B7",120 Bloor St E #105,Toronto,Ontario,M4W 1B7,Canada,CA,4.8,737,OPERATIONAL,"{""Monday"": [""8:30a.m.-7:30p.m.""], ""Tuesday"": [""8:30a.m.-7:30p.m.""], ""Wednesday"": [""8:30a.m.-7:30p.m.""], ""Thursday"": [""8:30a.m.-7:30p.m.""], ""Friday"": [""8:30a.m.-7:30p.m.""], ""Saturday"": [""9a.m.-5p.m.""], ""Sunday"": [""10a.m.-5p.m.""]}",,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",43.6711967,-79.3839517,ChIJcVZzelPL1IkRFur4ThBCxio,0x89d4cb537a735671:0x2ac642104ef8ea16,rosedalewellness.com,ssuk@rosedalewellness.com,https://www.instagram.com/rosedalewellnesscentre,https://www.facebook.com/rosedalewellnesscentre/,https://rosedalewellness.com/book-now/,True,120,675,31
Roncy's Apothecary & Clinic,Acupuncture clinic,"Acupuncture clinic, Herb shop, Holistic medicine practitioner",+1 416-537-5303,http://www.roncysapothecaryclinic.com/,"409 Roncesvalles Ave, Toronto, ON M6R 2N1",409 Roncesvalles Ave,Toronto,Ontario,M6R 2N1,Canada,CA,4.6,128,OPERATIONAL,"{""Monday"": [""Closed""], ""Tuesday"": [""12-6p.m.""], ""Wednesday"": [""12-6p.m.""], ""Thursday"": [""12-6p.m.""], ""Friday"": [""12-6p.m.""], ""Saturday"": [""12-6p.m.""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6511311,-79.4507738,ChIJlZJHhzY0K4gRU1rbCm9yTd0,0x882b343687479295:0xdd4d726f0adb5a53,roncysapothecaryclinic.com,hello@roncysapothecaryclinic.com,https://www.instagram.com/roncysapothecaryclinic,https://www.facebook.com/roncysapothecaryclinic,https://rcac.janeapp.com/,True,47,106,12
White Lotus Clinic,Naturopathic practitioner,"Naturopathic practitioner, Acupuncture clinic",+1 416-730-8218,https://www.whitelotusclinic.ca/,"121 Willowdale Ave Suite 301, North York, ON M2N 6A3",121 Willowdale Ave Suite 301,North York,Ontario,M2N 6A3,Canada,CA,4.8,19,OPERATIONAL,"{""Monday"": [""9a.m.-5p.m.""], ""Tuesday"": [""9a.m.-5p.m.""], ""Wednesday"": [""9a.m.-5p.m.""], ""Thursday"": [""9a.m.-7p.m.""], ""Friday"": [""9a.m.-5p.m.""], ""Saturday"": [""9:30a.m.-4:30p.m.""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.7651463,-79.3998314,ChIJfWo1rGUtK4gRpSzcnyuCaVg,0x882b2d65ac356a7d:0x5869822b9fdc2ca5,whitelotusclinic.ca,drfiona@whitelotusclinic.ca,https://www.instagram.com/whitelotustoronto,https://www.facebook.com/drfionand,,True,9,18,0
Liberty Village Body in Tune,Alternative medicine practitioner,"Naturopathic practitioner, Acupuncture clinic, Chiropractor, Lymph drainage therapist, Massage therapist, Alternative medicine practitioner, Osteopath",+1 416-588-0733,https://bodyintune.ca/,"171 E Liberty St #133, Toronto, ON M6K 3P6",171 E Liberty St #133,Toronto,Ontario,M6K 3P6,Canada,CA,4.7,436,OPERATIONAL,"{""Monday"": [""9a.m.-8p.m.""], ""Tuesday"": [""9a.m.-8p.m.""], ""Wednesday"": [""9a.m.-8p.m.""], ""Thursday"": [""9a.m.-8p.m.""], ""Friday"": [""9a.m.-8p.m.""], ""Saturday"": [""10a.m.-6p.m.""], ""Sunday"": [""11a.m.-6p.m.""]}",,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Washroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid street parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",43.6382383,-79.4181349,ChIJLdmI9QM1K4gRI8D3yIWi-rk,0x882b3503f588d92d:0xb9faa285c8f7c023,bodyintune.ca,hello@bodyologywellness.co,https://www.instagram.com/bodyintune.bodyology,http://www.facebook.com/bittoronto,https://bodyintune.janeapp.com/locations/liberty-village-body-in-tune/book?rwg_token=AFd1xnFZWODGNjKEVzvXixrge3sI5oxsTCVeOQz3sbYfg0Qmby5D8loSaNalI4uWS4w1OVQ9EjttxLlDE_ksCc_rjn4qp2OzTzz1kTl0hNqsWIyQ6E__O6c%3D,True,21,382,21
Clear Medicine,Vitamin & supplements store,Vitamin & supplements store,+1 416-579-9105,https://shop.clearmedicine.com/,"123 Dupont St, Toronto, ON M5R 1V4",123 Dupont St,Toronto,Ontario,M5R 1V4,Canada,CA,4.5,47,OPERATIONAL,"{""Monday"": [""Closed""], ""Tuesday"": [""9a.m.-2p.m.""], ""Wednesday"": [""Closed""], ""Thursday"": [""Closed""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Curbside pickup"": true, ""In-store pickup"": true, ""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Gender-neutral washroom"": true, ""Wi-Fi"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Checks"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free street parking"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",43.6759383,-79.4015286,ChIJIwyvwaE0K4gRT4QvRZvKemQ,0x882b34a1c1af0c23:0x647aca9b452f844f,shop.clearmedicine.com,orders@clearmedicine.com,,https://www.facebook.com/MagenTech\,https://clearmedicine.janeapp.com/,True,22,38,3
Conceive Health,Fertility clinic,"Naturopathic practitioner, Acupuncture clinic, Fertility physician, Fertility clinic, Pregnancy care center",+1 416-364-2236,https://www.conceivehealth.com/,"655 Bay St. 18th Floor, Toronto, ON M5G 2K4",655 Bay St. 18th Floor,Toronto,Ontario,M5G 2K4,Canada,CA,4.6,33,OPERATIONAL,"{""Monday"": [""7a.m.-3p.m.""], ""Tuesday"": [""7a.m.-3p.m.""], ""Wednesday"": [""7a.m.-3p.m.""], ""Thursday"": [""7a.m.-3p.m.""], ""Friday"": [""7a.m.-3p.m.""], ""Saturday"": [""7a.m.-1p.m.""], ""Sunday"": [""8a.m.-1p.m.""]}",,"{""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Amenities"": {""Washroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}",43.6578757,-79.3843752,ChIJ7Z6Saco0K4gRGG6qjjUuXBw,0x882b34ca69929eed:0x1c5c2e358eaa6e18,conceivehealth.com,info@conceivehealth.com,,https://www.facebook.com/ConceiveHealth/,,True,31,29,0
The Neighbourhood Clinic,Massage therapist,"Massage therapist, Acupuncture clinic, Chiropractor, Osteopath, Physiotherapist",+1 416-483-2273,https://www.theneighbourhoodclinic.com/,"674 Mt Pleasant Rd, Toronto, ON M4S 2N3",674 Mt Pleasant Rd,Toronto,Ontario,M4S 2N3,Canada,CA,4.8,67,OPERATIONAL,"{""Monday"": [""10a.m.-7p.m.""], ""Tuesday"": [""10a.m.-7p.m.""], ""Wednesday"": [""10a.m.-7p.m.""], ""Thursday"": [""10a.m.-7p.m.""], ""Friday"": [""10a.m.-7p.m.""], ""Saturday"": [""10a.m.-4p.m.""], ""Sunday"": [""Closed""]}",,"{""Service options"": {""Onsite services"": true}, ""Planning"": {""Appointment required"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",43.7055428,-79.3892454,ChIJTQEDNjAzK4gR31boXTpc858,0x882b33303603014d:0x9ff35c3a5de856df,theneighbourhoodclinic.com,macdonaldemily@talk21.com,https://www.instagram.com/theneighbourhoodclinic,https://www.facebook.com/TheNeighbourhoodClinic,https://theneighbourhoodclinic.com/booking/,True,24,63,1
